Season,Race,Driver of The Day,Team
2022,Hungarian Grand Prix,Verstappen,Red Bull
2022,French Grand Prix,Sainz,Ferrari
2022,Austrian Grand Prix,Schumacher,Haas
2022,British Grand Prix,Perez,Red Bull
2022,Canadian Grand Prix,Leclerc,Ferrari
2022,Azerbaijan Grand Prix,Hamilton,Mercedes
2022,Monaco Grand Prix,Perez,Red Bull
2022,Spanish Grand Prix,Hamilton,Mercedes
2022,Miami Grand Prix,Verstappen,Red Bull
2022,Italian Grand Prix,Verstappen,Red Bull
2022,Australian Grand Prix,Leclerc,Ferrari
2022,Saudi Arabian Grand Prix,Leclerc,Ferrari
2021,Abu Dhabi Grand Prix,Raikkonen,Alfa Romeo
2021,Saudi Arabian Grand Prix,Verstappen,Red Bull
2021,Qatar Grand Prix,Alonso,Alpine
2021,São Paulo Grand Prix,Hamilton,Mercedes
2021,Mexico City Grand Prix,Perez,Red Bull
2021,United States Grand Prix,Verstappen,Red Bull
2021,Turkish Grand Prix,Sainz,Ferrari
2021,Russian Grand Prix,Norris,McLaren
2021,Italian Grand Prix,Ricciardo,McLaren
2021,Dutch Grand Prix,Perez,Red Bull
2021,Hungarian Grand Prix,Alonso,Alpine
2021,British Grand Prix,Leclerc,Ferrari
2021,Austrian Grand Prix,Norris,McLaren
2021,Styrian Grand Prix,Leclerc,Ferrari
2021,French Grand Prix,Verstappen,Red Bull
2021,Azerbaijan Grand Prix,Vettel,Aston Martin
2021,Monaco Grand Prix,Vettel,Aston Martin
2021,Spanish Grand Prix,Hamilton,Mercedes
2021,Portuguese Grand Prix,Perez,Red Bull
2021,Emilia Romagna Grand Prix,Norris,McLaren
2021,Bahrain Grand Prix,Perez,Red Bull
2020,Abu Dhabi Grand Prix,Verstappen,Red Bull
2020,Sakhir Grand Prix,Russell,Mercedes
2020,Bahrain Grand Prix,Grosjean,Haas
2020,Turkish Grand Prix,Vettel,Ferrari
2020,Emilia Romagna Grand Prix,Raikkonen,Alfa Romeo
2020,Portuguese Grand Prix,Perez,Racing Point
2020,Eifel Grand Prix,Hulkenberg,Racing Point
2020,Russian Grand Prix,Verstappen,Red Bull
2020,Tuscan Grand Prix,Ricciardo,Renault
2020,Italian Grand Prix,Gasly,Alpha Tauri
2020,Belgian Grand Prix,Gasly,Alpha Tauri
2020,Spanish Grand Prix,Vettel,Ferrari
2020,70th Anniversary Grand Prix,Verstappen,Red Bull
2020,British Grand Prix,Hamilton,Mercedes
2020,Hungarian Grand Prix,Verstappen,Red Bull
2020,Styrian Grand Prix,Perez,Racing Point
2020,Austrian Grand Prix,Albon,Red Bull
2019,Abu Dhabi Grand Prix,Hulkenberg,Renault
2019,Brazilian Grand Prix,Verstappen,Red Bull
2019,United States Grand Prix,Albon,Red Bull
2019,Mexican Grand Prix,Verstappen,Red Bull
2019,Japanese Grand Prix,Bottas,Mercedes
2019,Russian Grand Prix,Vettel,Ferrari
2019,Singapore Grand Prix,Vettel,Ferrari
2019,Italian Grand Prix,Leclerc,Ferrari
2019,Belgian Grand Prix,Norris,McLaren
2019,Hungarian Grand Prix,Verstappen,Red Bull
2019,German Grand Prix,Verstappen,Red Bull
2019,British Grand Prix,Leclerc,Ferrari
2019,Austrian Grand Prix,Verstappen,Red Bull
2019,French Grand Prix,Norris,McLaren
2019,Canadian Grand Prix,Vettel,Ferrari
2019,Monaco Grand Prix,Verstappen,Red Bull
2019,Spanish Grand Prix,Verstappen,Red Bull
2019,Azerbaijan Grand Prix,Leclerc,Ferrari
2019,Chinese Grand Prix,Albon,Red Bull
2019,Bahrain Grand Prix,Leclerc,Ferrari
