"Season","Race","Driver.of.The.Day","Team","driverId","dob","nationality","raceId","circuitId","date","time","fp1_date","fp1_time","fp2_date","fp2_time","fp3_date","fp3_time","quali_date","quali_time","sprint_date","sprint_time","age_at_race","afternoon_race","driverStandingsId","points","position","positionText","wins","num_stops","resultId","constructorId","number","grid","positionOrder","laps","milliseconds","fastestLap","fastestLapTime","fastestLapSpeed","statusId","raceTime","status","constructorStandingsId","constructor_points","constructor_position","constructor_positionText","constructor_wins","grid_to_position"
2022,"Hungarian Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1086,11,2022-07-31,"13:00:00","2022-07-29","12:00:00","2022-07-29","15:00:00","2022-07-30","11:00:00","2022-07-30","14:00:00","\N","\N",24,TRUE,71561,258,1,"1",8,2,25646,9,"1",10,1,70,"5975912","45","1:22.126","192.041",1,"1:39:35.912","Finished",28272,431,1,"1",9,9
2022,"French Grand Prix","sainz","Ferrari",832,1994-09-01,"Spanish",1085,34,2022-07-24,"13:00:00","2022-07-22","12:00:00","2022-07-22","15:00:00","2022-07-23","11:00:00","2022-07-23","14:00:00","\N","\N",27,TRUE,71523,144,4,"4",1,2,25630,6,"55",19,5,53,"5430984","51","1:35.781","219.575",1,"+28.872","Finished",28253,314,2,"2",4,14
2022,"Austrian Grand Prix","mick_schumacher","Haas",854,1999-03-22,"German",1084,70,2022-07-10,"13:00:00","2022-07-08","11:30:00","2022-07-09","10:30:00","\N","\N","2022-07-08","15:00:00","2022-07-09","14:30:00",23,TRUE,71511,12,15,"15",0,2,25611,210,"47",9,6,70,"\N","50","1:09.625","223.264",11,"\N","+1 Lap",28245,34,7,"7",0,3
2022,"British Grand Prix","perez","Red Bull",815,1990-01-26,"Mexican",1083,9,2022-07-03,"14:00:00","2022-07-01","12:00:00","2022-07-01","15:00:00","2022-07-02","11:00:00","2022-07-02","14:00:00","\N","\N",32,TRUE,71497,147,2,"2",1,3,25587,9,"11",4,2,52,"8274090","47","1:30.937","233.212",1,"+3.779","Finished",28242,328,1,"1",7,2
2022,"Canadian Grand Prix","leclerc","Ferrari",844,1997-10-16,"Monegasque",1082,7,2022-06-19,"18:00:00","2022-06-17","18:00:00","2022-06-17","21:00:00","2022-06-18","17:00:00","2022-06-18","20:00:00","\N","\N",24,TRUE,71459,126,3,"3",2,1,25570,6,"16",19,5,70,"5796925","62","1:15.901","206.843",1,"+15.168","Finished",28223,228,2,"2",2,14
2022,"Azerbaijan Grand Prix","hamilton","Mercedes",1,1985-01-07,"British",1081,73,2022-06-12,"11:00:00","2022-06-10","11:00:00","2022-06-10","14:00:00","2022-06-11","11:00:00","2022-06-11","14:00:00","\N","\N",37,FALSE,71419,62,6,"6",0,2,25549,131,"44",7,4,51,"5717620","39","1:47.044","201.887",1,"+1:11.679","Finished",28204,161,3,"3",0,3
2022,"Monaco Grand Prix","perez","Red Bull",815,1990-01-26,"Mexican",1080,6,2022-05-29,"13:00:00","2022-05-27","12:00:00","2022-05-27","15:00:00","2022-05-28","11:00:00","2022-05-28","14:00:00","\N","\N",32,TRUE,71413,110,3,"3",1,3,25526,9,"11",3,1,64,"6990265","46","1:16.028","158.010",1,"1:56:30.265","Finished",28202,235,1,"1",5,2
2022,"Spanish Grand Prix","hamilton","Mercedes",1,1985-01-07,"British",1079,4,2022-05-22,"13:00:00","2022-05-20","12:00:00","2022-05-20","15:00:00","2022-05-21","11:00:00","2022-05-21","14:00:00","\N","\N",37,TRUE,71357,46,6,"6",0,3,25510,131,"44",6,5,66,"5895009","51","1:24.253","199.755",1,"+54.534","Finished",28184,120,3,"3",0,1
2022,"Miami Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1078,79,2022-05-08,"19:30:00","2022-05-06","18:30:00","2022-05-06","21:30:00","2022-05-07","17:00:00","2022-05-07","20:00:00","\N","\N",24,TRUE,71352,85,2,"2",3,1,25486,9,"1",3,1,57,"5664258","54","1:31.361","213.255",1,"1:34:24.258","Finished",28182,151,2,"2",3,2
2022,"Italian Grand Prix","max_verstappen","Red Bull",830,1997-09-30,"Dutch",1089,14,2022-09-11,"13:00:00","2022-09-09","12:00:00","2022-09-09","15:00:00","2022-09-10","11:00:00","2022-09-10","14:00:00","\N","\N",24,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
