"resultId","raceId","driverId","constructorId","grid","positionOrder","laps","milliseconds","fastestLap","fastestLapTime","fastestLapSpeed","statusId","raceTime","year","circuitId","date","time","fp1_date","fp1_time","fp2_date","fp2_time","fp3_date","fp3_time","quali_date","quali_time","sprint_date","sprint_time","Race_name","driverRef","nationality.x","dob_driver","age_at_race","driverStandingsId","points","position","positionText","wins","num_stops","status","name","Driver.of.The.Day","Team","driverId_driverofday","dob","nationality.y","driver.of.day.ind"
22917,948,3,131,2,1,57,"6495565","21","1:30.557","210.815",1,"1:48:15.565",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","rosberg","German",1985-06-27,28,68086,25,1,"1",1,2,"Finished","Mercedes","grosjean","Haas",154,1986-04-17,"French",0
22918,948,1,131,1,2,57,"6503625","48","1:30.646","210.608",1,"+8.060",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","hamilton","British",1985-01-07,36,68087,18,2,"2",0,2,"Finished","Mercedes","grosjean","Haas",154,1986-04-17,"French",0
22919,948,20,6,3,3,57,"6505208","23","1:29.951","212.235",1,"+9.643",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","vettel","German",1987-07-03,26,68088,15,3,"3",0,3,"Finished","Ferrari","grosjean","Haas",154,1986-04-17,"French",0
22920,948,817,9,8,4,57,"6519895","49","1:28.997","214.510",1,"+24.330",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","ricciardo","Australian",1989-07-01,28,68089,12,4,"4",0,3,"Finished","Red Bull","grosjean","Haas",154,1986-04-17,"French",0
22921,948,13,3,6,5,57,"6554544","39","1:32.288","206.861",1,"+58.979",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","massa","Brazilian",1981-04-25,18,68090,10,5,"5",0,2,"Finished","Williams","grosjean","Haas",154,1986-04-17,"French",0
22922,948,154,210,19,6,57,"6567646","48","1:32.862","205.582",1,"+1:12.081",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","grosjean","French",1986-04-17,26,68091,8,6,"6",0,1,"Finished","Haas","grosjean","Haas",154,1986-04-17,"French",1
22923,948,807,10,10,7,57,"6569764","49","1:32.833","205.646",1,"+1:14.199",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","hulkenberg","German",1987-08-19,20,68092,6,7,"7",0,2,"Finished","Force India","grosjean","Haas",154,1986-04-17,"French",0
22924,948,822,3,16,8,57,"6570718","51","1:32.725","205.886",1,"+1:15.153",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","bottas","Finnish",1989-08-28,20,68093,4,8,"8",0,2,"Finished","Williams","grosjean","Haas",154,1986-04-17,"French",0
22925,948,832,5,7,9,57,"6571245","23","1:31.671","208.253",1,"+1:15.680",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","sainz","Spanish",1994-09-01,28,68094,2,9,"9",0,3,"Finished","Toro Rosso","grosjean","Haas",154,1986-04-17,"French",0
22926,948,830,5,5,10,57,"6572398","44","1:31.516","208.606",1,"+1:16.833",2016,1,2016-03-20,"05:00:00","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Australian Grand Prix","max_verstappen","Dutch",1997-09-30,18,68095,1,10,"10",0,3,"Finished","Toro Rosso","grosjean","Haas",154,1986-04-17,"French",0
